tdb,tr,rh,v,wbgt,heat_index,age,weight,height,bmi,activity_level,met_w_m2,clo,acclimatized,hydration_status,hours_worked,worker_type,d_lim_t_re_raw,water_loss_g,t_re_final,t_sk_final,remaining_safe_min,hr_estimated,climate_zone,risk_label_int,risk_label,alert_color
33.94,40.44,85.41,2.51,32.975,55.21,20,60.6,163.6,22.63,heavy,200.0,0.36,1,mild,6.36,agriculture,480.0,6336.0,37.8,35.2,115.5,141.3,Hot_Humid,0,LOW,green
37.65,51.8,69.85,2.38,36.301,60.885,29,83.5,150.8,36.71,heavy,200.0,0.32,0,well,6.49,brick_kiln,480.0,9088.0,37.8,36.0,90.84,141.8,Composite,0,LOW,green
39.24,48.81,57.79,2.0,35.391,57.916,35,53.3,176.2,17.18,heavy,200.0,0.42,0,mild,6.17,brick_kiln,480.0,8197.0,37.9,36.0,61.69,151.4,Hot_Dry,0,LOW,green
36.2,47.19,64.59,2.3,33.658,51.496,49,82.2,162.2,31.25,heavy,200.0,0.41,1,mild,6.49,brick_kiln,480.0,6056.5,37.9,35.6,107.38,133.3,Composite,0,LOW,green
34.94,41.38,22.03,1.4,25.269,34.935,18,61.7,152.3,26.62,heavy,200.0,0.63,0,well,6.5,road_labor,480.0,5172.2,38.0,35.1,89.93,130.7,Composite,0,LOW,green
30.39,39.59,21.18,1.75,21.973,30.387,45,59.7,174.1,19.68,heavy,200.0,0.63,0,mild,6.92,agriculture,480.0,4015.9,37.8,34.6,16.72,127.4,Composite,2,HIGH,orange
32.22,39.55,39.39,4.72,25.205,32.216,18,66.5,183.8,19.7,heavy,200.0,0.31,0,dehydrated,6.98,fishing,73.0,4414.9,38.0,33.9,0.0,141.4,Hot_Humid,3,CRITICAL,red
38.68,48.3,62.3,1.53,35.64,59.243,50,83.6,182.8,25.02,heavy,200.0,0.56,1,mild,6.1,road_labor,69.0,8516.0,39.0,36.5,0.0,142.7,Composite,3,CRITICAL,red
33.6,44.65,57.52,2.85,30.183,40.124,44,68.3,184.9,19.98,heavy,200.0,0.53,1,well,6.33,agriculture,480.0,4920.0,37.9,35.1,172.02,130.2,Semi_Arid,0,LOW,green
38.07,41.62,64.34,2.24,33.907,58.36,25,51.9,177.9,16.4,heavy,200.0,0.67,1,well,6.91,construction,480.0,9282.2,38.0,35.5,137.43,136.2,Semi_Arid,0,LOW,green
34.67,41.87,27.89,3.07,25.864,34.673,49,74.2,158.2,29.64,heavy,200.0,0.69,0,mild,6.05,agriculture,480.0,4735.6,37.9,34.6,68.75,131.7,Semi_Arid,0,LOW,green
37.6,45.89,50.29,1.88,32.597,47.607,53,63.2,179.4,19.63,heavy,200.0,0.57,0,mild,6.39,agriculture,480.0,5982.5,37.9,35.5,48.78,149.8,Semi_Arid,1,MODERATE,yellow
33.88,39.14,32.02,0.59,26.293,33.878,50,76.2,168.2,26.92,heavy,200.0,0.38,1,dehydrated,6.27,construction,480.0,4786.1,37.8,35.1,37.88,124.2,Highland,1,MODERATE,yellow
39.13,45.79,35.71,1.33,31.431,39.125,18,72.5,177.4,23.03,heavy,200.0,0.59,0,mild,6.51,construction,480.0,6665.4,38.0,35.6,41.63,134.8,Highland,1,MODERATE,yellow
34.47,42.05,80.48,2.64,33.113,54.516,58,80.9,178.2,25.47,heavy,200.0,0.38,1,dehydrated,6.04,tea_plantation,480.0,5471.0,37.7,35.1,51.56,138.0,Hot_Humid,1,MODERATE,yellow
36.13,43.4,76.67,3.61,33.93,59.32,57,74.9,181.8,22.67,heavy,200.0,0.63,0,well,6.01,agriculture,72.0,8099.5,38.8,35.6,0.0,142.6,Semi_Arid,3,CRITICAL,red
41.33,53.27,52.21,2.9,36.684,61.105,49,58.8,176.8,18.79,heavy,200.0,0.31,0,mild,6.18,construction,480.0,8561.6,38.0,36.2,61.42,152.7,Hot_Dry,0,LOW,green
33.59,41.98,76.87,1.08,32.481,48.824,21,59.9,153.2,25.49,heavy,200.0,0.65,0,well,6.64,construction,480.0,9158.8,37.8,35.6,81.71,136.6,Hot_Humid,0,LOW,green
35.29,48.93,70.21,2.24,34.03,51.53,42,63.7,185.0,18.61,heavy,200.0,0.58,0,dehydrated,6.32,agriculture,480.0,6778.8,37.8,35.6,0.0,144.3,Composite,3,CRITICAL,red
34.26,42.09,26.32,1.22,25.922,34.265,24,67.2,157.7,27.03,heavy,200.0,0.4,0,mild,6.18,quarry,480.0,5124.6,38.0,35.2,61.38,128.2,Semi_Arid,0,LOW,green
37.86,52.25,28.37,3.43,29.904,37.865,27,73.1,154.0,30.8,heavy,200.0,0.42,0,mild,6.55,construction,29.0,6494.2,38.2,35.4,0.0,136.9,Semi_Arid,3,CRITICAL,red
33.32,47.76,41.69,3.35,28.33,34.686,44,53.5,153.0,22.85,heavy,200.0,0.65,0,dehydrated,6.86,agriculture,480.0,4909.6,37.9,34.9,0.0,147.3,Semi_Arid,3,CRITICAL,red
36.3,41.08,62.93,2.94,32.1,50.815,30,49.7,153.0,21.22,heavy,200.0,0.63,0,dehydrated,6.81,tea_plantation,480.0,6385.8,37.9,35.2,0.0,152.7,Hot_Humid,3,CRITICAL,red
36.65,46.05,52.72,4.49,31.523,46.21,28,75.5,163.0,28.41,heavy,200.0,0.66,1,mild,6.08,agriculture,480.0,6306.8,38.0,35.0,132.22,137.6,Hot_Humid,0,LOW,green
31.92,42.07,55.11,4.02,27.806,35.497,46,83.0,184.0,24.53,heavy,200.0,0.65,0,mild,6.76,construction,480.0,4341.1,37.9,34.6,26.4,136.6,Hot_Humid,2,HIGH,orange
35.49,43.74,64.59,0.81,32.888,49.02,20,65.2,165.6,23.77,heavy,200.0,0.37,1,well,6.3,brick_kiln,480.0,7686.8,37.7,35.8,173.83,128.7,Composite,0,LOW,green
33.97,48.93,64.01,3.11,32.039,43.83,33,61.7,163.7,23.02,heavy,200.0,0.61,0,dehydrated,6.04,agriculture,480.0,5736.7,37.9,35.4,0.0,146.1,Hot_Dry,3,CRITICAL,red
31.75,46.64,22.86,2.78,24.193,31.749,53,75.5,172.1,25.51,heavy,200.0,0.6,1,dehydrated,6.45,road_labor,480.0,4333.8,37.8,34.7,27.18,132.3,Composite,2,HIGH,orange
33.46,42.5,34.47,3.32,26.279,33.456,21,64.5,165.5,23.52,heavy,200.0,0.63,0,mild,6.8,agriculture,480.0,4852.2,38.0,34.7,23.86,135.0,Hot_Dry,2,HIGH,orange
34.43,48.29,73.16,0.96,33.994,50.023,52,63.4,166.9,22.78,heavy,200.0,0.48,0,mild,6.68,agriculture,480.0,8355.6,37.9,35.9,30.99,153.9,Semi_Arid,1,MODERATE,yellow
38.91,54.61,54.74,2.28,35.79,54.474,45,47.3,175.3,15.39,heavy,200.0,0.37,0,well,6.36,road_work,480.0,7531.4,38.0,36.2,98.67,137.5,Semi_Arid,0,LOW,green
33.59,41.54,24.9,2.71,24.685,33.592,49,81.8,175.4,26.57,heavy,200.0,0.56,0,mild,6.95,quarry,480.0,4505.2,37.9,34.6,15.17,139.3,Semi_Arid,2,HIGH,orange
36.57,39.68,25.67,2.56,26.312,36.566,46,69.6,168.0,24.64,heavy,200.0,0.68,0,mild,6.52,salt_pan,480.0,5047.6,38.0,34.8,40.71,143.9,Hot_Dry,1,MODERATE,yellow
37.39,40.39,60.48,2.21,32.659,53.084,47,47.0,181.2,14.32,heavy,200.0,0.7,1,mild,6.13,construction,480.0,6566.8,37.8,35.3,128.77,137.5,Semi_Arid,0,LOW,green
34.17,49.92,34.98,1.27,28.922,34.17,34,75.6,152.5,32.51,heavy,200.0,0.3,0,mild,6.65,salt_pan,62.0,5786.8,38.0,35.7,0.0,134.6,Hot_Dry,3,CRITICAL,red
34.33,38.89,39.26,3.32,26.879,34.327,30,75.4,172.1,25.47,heavy,200.0,0.38,1,well,6.66,agriculture,64.0,4862.4,38.0,34.5,0.0,120.0,Hot_Humid,3,CRITICAL,red
34.16,46.16,72.83,5.3,32.021,48.821,21,74.5,162.5,28.2,heavy,200.0,0.45,1,dehydrated,6.27,construction,480.0,6021.5,38.0,34.7,37.64,146.4,Hot_Humid,1,MODERATE,yellow
38.46,43.58,55.66,3.7,32.973,53.605,58,71.2,175.4,23.14,heavy,200.0,0.33,1,dehydrated,6.49,road_work,480.0,6181.9,38.0,35.1,24.64,144.5,Semi_Arid,2,HIGH,orange
37.52,53.9,51.84,1.33,34.531,48.239,18,84.0,181.3,25.56,heavy,200.0,0.45,1,well,6.06,construction,480.0,7623.4,37.9,36.2,188.62,126.7,Hot_Dry,0,LOW,green
35.58,42.44,44.88,1.1,29.946,40.029,19,56.8,154.2,23.88,heavy,200.0,0.63,1,mild,6.12,quarry,480.0,5955.7,37.9,35.5,129.89,132.6,Semi_Arid,0,LOW,green
38.57,49.7,42.13,2.32,32.639,45.808,55,61.7,175.5,20.04,heavy,200.0,0.69,0,mild,6.27,construction,480.0,6128.8,37.9,35.5,55.86,137.1,Semi_Arid,1,MODERATE,yellow
31.82,40.77,70.52,4.4,29.181,40.078,18,79.7,178.8,24.94,heavy,200.0,0.44,0,well,6.66,agriculture,480.0,4490.1,37.9,34.5,80.2,140.9,Hot_Humid,0,LOW,green
31.56,43.77,75.96,2.99,30.611,41.259,24,66.4,153.0,28.34,heavy,200.0,0.37,1,dehydrated,6.8,brick_kiln,480.0,4587.9,37.9,35.0,6.07,144.2,Composite,2,HIGH,orange
33.42,36.78,76.35,3.07,30.659,47.922,59,56.9,155.2,23.64,heavy,200.0,0.47,0,mild,6.91,construction,480.0,4349.4,37.7,34.7,17.45,149.2,Hot_Humid,2,HIGH,orange
38.54,50.06,41.25,1.32,32.849,45.286,59,55.5,181.6,16.82,heavy,200.0,0.69,0,mild,6.3,construction,480.0,6565.2,37.8,35.7,53.78,141.5,Highland,1,MODERATE,yellow
37.05,42.41,26.49,3.08,27.16,37.049,26,55.8,158.9,22.08,heavy,200.0,0.34,1,well,6.27,agriculture,32.0,5742.2,38.1,34.9,0.0,118.0,Composite,3,CRITICAL,red
38.56,49.24,48.7,0.69,34.059,49.452,33,84.6,158.6,33.61,heavy,200.0,0.35,0,well,6.44,tea_plantation,480.0,8788.8,37.8,36.2,93.35,126.3,Highland,0,LOW,green
34.52,44.75,62.59,3.59,31.288,44.846,55,76.1,162.0,28.98,heavy,200.0,0.39,1,dehydrated,6.04,fishing,480.0,4946.7,37.9,34.9,51.72,139.2,Hot_Humid,1,MODERATE,yellow
37.39,55.23,48.24,2.19,33.925,45.928,44,74.1,162.1,28.2,heavy,200.0,0.5,1,mild,6.53,salt_pan,480.0,6687.8,38.0,36.0,104.92,136.5,Hot_Dry,0,LOW,green
40.61,54.77,26.93,3.94,31.648,40.606,52,46.9,180.1,14.44,heavy,200.0,0.31,1,mild,6.38,salt_pan,24.0,7284.3,38.3,35.6,0.0,135.5,Hot_Dry,3,CRITICAL,red
36.8,44.22,58.99,3.38,32.447,50.143,38,74.8,182.1,22.54,heavy,200.0,0.41,0,mild,6.09,agriculture,480.0,6134.6,38.0,35.2,66.84,145.8,Hot_Humid,0,LOW,green
31.51,43.36,77.85,5.0,30.096,41.804,19,62.4,183.7,18.47,heavy,200.0,0.6,0,mild,6.78,agriculture,480.0,4917.7,37.9,34.6,25.01,141.5,Hot_Humid,2,HIGH,orange
34.48,37.31,42.86,2.6,27.423,37.094,31,53.6,169.7,18.6,heavy,200.0,0.53,1,mild,6.99,agriculture,480.0,4808.8,37.9,34.8,77.27,133.2,Hot_Humid,0,LOW,green
36.66,41.07,68.24,3.15,32.973,55.561,26,77.4,181.5,23.51,heavy,200.0,0.35,1,well,6.42,tea_plantation,480.0,6546.2,37.9,35.2,166.56,133.5,Hot_Humid,0,LOW,green
32.79,43.28,81.08,2.76,32.088,47.847,25,60.0,158.7,23.83,heavy,200.0,0.52,0,mild,6.94,road_work,480.0,5475.3,37.8,35.2,15.7,151.7,Semi_Arid,2,HIGH,orange
33.47,51.35,56.24,4.19,30.868,39.341,37,53.8,150.7,23.7,heavy,200.0,0.5,0,mild,6.07,salt_pan,480.0,5379.8,38.0,35.1,67.99,143.2,Hot_Dry,0,LOW,green
39.19,50.08,58.6,1.98,35.719,58.319,19,56.4,169.6,19.61,heavy,200.0,0.41,0,mild,6.09,construction,480.0,8407.0,37.9,36.1,66.34,157.2,Hot_Dry,0,LOW,green
32.88,35.52,72.99,4.38,29.602,44.385,49,48.9,178.4,15.35,heavy,200.0,0.35,1,dehydrated,6.63,fishing,480.0,4189.7,37.9,34.1,16.02,142.7,Hot_Humid,2,HIGH,orange
33.66,37.03,35.24,2.42,25.707,33.656,39,62.0,174.3,20.41,heavy,200.0,0.49,0,mild,6.12,tea_plantation,480.0,4491.1,37.9,34.6,64.52,134.5,Hot_Humid,0,LOW,green
36.1,44.84,65.28,1.84,33.336,51.547,54,53.4,151.4,23.32,heavy,200.0,0.67,1,dehydrated,6.34,salt_pan,480.0,6649.1,37.7,35.4,33.42,137.5,Hot_Dry,1,MODERATE,yellow
40.1,49.77,42.96,3.17,33.581,50.339,38,70.0,163.3,26.25,heavy,200.0,0.32,1,well,6.02,road_labor,28.0,7250.3,38.2,35.8,0.0,134.6,Composite,3,CRITICAL,red
36.08,40.61,79.5,1.94,34.165,61.171,43,79.1,177.0,25.27,heavy,200.0,0.62,1,mild,6.29,agriculture,47.0,8866.5,39.3,36.3,0.0,134.8,Hot_Humid,3,CRITICAL,red
39.95,42.17,29.09,1.73,29.841,39.951,45,77.7,150.7,34.23,heavy,200.0,0.55,1,dehydrated,6.5,salt_pan,74.0,5947.4,38.0,35.3,0.0,140.9,Hot_Dry,3,CRITICAL,red
35.05,40.13,29.42,0.8,26.716,35.053,22,57.9,182.4,17.39,heavy,200.0,0.51,0,dehydrated,6.27,agriculture,480.0,5378.7,37.9,35.3,0.0,148.4,Composite,3,CRITICAL,red
35.9,43.99,87.84,2.19,35.588,66.836,47,55.5,183.0,16.57,heavy,200.0,0.5,0,well,6.69,agriculture,27.0,8616.3,40.3,37.0,0.0,151.5,Hot_Humid,3,CRITICAL,red
33.78,36.48,57.8,2.14,28.929,40.694,57,65.0,177.4,20.66,heavy,200.0,0.58,1,mild,6.85,construction,480.0,4238.1,37.8,34.8,85.69,131.3,Hot_Humid,0,LOW,green
33.99,46.05,76.71,3.91,32.731,50.277,43,69.1,173.1,23.07,heavy,200.0,0.5,1,mild,6.79,construction,480.0,5871.5,37.8,35.0,89.13,141.2,Hot_Dry,0,LOW,green
35.89,39.59,76.48,1.24,33.671,58.102,45,54.5,154.8,22.74,heavy,200.0,0.63,1,well,6.33,agriculture,50.0,8760.5,39.6,36.5,0.0,134.7,Hot_Dry,3,CRITICAL,red
30.58,41.63,49.95,0.74,27.111,31.926,33,59.3,168.4,20.9,heavy,200.0,0.31,0,well,6.66,road_labor,480.0,4836.0,37.9,35.2,80.56,127.3,Composite,0,LOW,green
32.06,38.3,65.71,5.33,28.031,39.048,23,75.4,153.2,32.12,heavy,200.0,0.69,0,mild,6.3,agriculture,480.0,4708.5,37.9,34.3,53.99,134.7,Hot_Humid,1,MODERATE,yellow
33.33,39.92,71.68,5.2,30.04,45.303,28,61.7,165.5,22.54,heavy,200.0,0.37,0,mild,6.74,tea_plantation,480.0,5035.0,38.0,34.3,27.55,138.6,Hot_Humid,2,HIGH,orange
32.96,40.34,74.21,1.89,31.13,45.229,37,63.9,158.5,25.42,heavy,200.0,0.48,1,well,6.53,quarry,480.0,5030.1,37.8,35.2,160.21,134.4,Semi_Arid,0,LOW,green
33.22,41.89,69.43,3.35,30.644,43.915,43,64.1,169.4,22.34,heavy,200.0,0.67,0,mild,6.18,agriculture,480.0,5042.0,37.8,34.9,60.99,135.4,Hot_Humid,0,LOW,green
36.12,40.58,62.05,2.14,31.994,49.677,56,72.2,154.8,30.14,heavy,200.0,0.54,0,well,6.04,brick_kiln,480.0,5344.6,37.8,35.2,117.68,132.4,Hot_Dry,0,LOW,green
31.62,37.42,65.82,2.73,28.323,37.932,34,69.3,158.5,27.58,heavy,200.0,0.63,0,well,6.73,agriculture,480.0,4370.8,37.8,34.8,76.11,129.1,Hot_Humid,0,LOW,green
33.22,37.45,36.92,3.62,25.405,33.217,20,61.0,151.4,26.6,heavy,200.0,0.53,0,mild,6.27,construction,480.0,4551.3,38.0,34.4,55.9,136.5,Semi_Arid,1,MODERATE,yellow
35.47,38.13,18.39,1.35,24.135,35.471,30,58.5,173.5,19.41,heavy,200.0,0.48,0,dehydrated,6.96,construction,480.0,5002.8,38.0,34.9,0.0,140.5,Hot_Dry,3,CRITICAL,red
33.39,38.26,58.88,1.19,29.42,40.097,54,60.1,151.4,26.23,heavy,200.0,0.65,1,dehydrated,6.03,agriculture,480.0,4794.3,37.7,35.1,52.47,133.0,Semi_Arid,1,MODERATE,yellow
36.13,39.63,66.55,2.4,32.31,52.454,37,60.0,179.2,18.68,heavy,200.0,0.44,0,mild,6.8,quarry,480.0,5961.7,37.9,35.2,24.22,146.6,Semi_Arid,2,HIGH,orange
35.72,49.03,70.38,2.24,34.403,53.318,60,73.5,155.1,30.56,heavy,200.0,0.49,0,mild,6.43,brick_kiln,480.0,6249.7,37.7,35.6,46.35,151.9,Hot_Dry,1,MODERATE,yellow
39.63,43.02,59.41,4.03,34.261,60.674,47,47.6,167.4,16.98,heavy,200.0,0.62,0,mild,6.74,agriculture,56.0,8674.9,39.0,35.6,0.0,141.9,Hot_Dry,3,CRITICAL,red
33.56,41.8,48.11,2.57,28.44,36.859,21,77.4,158.7,30.74,heavy,200.0,0.66,1,dehydrated,6.48,agriculture,480.0,4937.6,37.9,35.0,24.92,136.4,Hot_Dry,2,HIGH,orange
33.88,49.09,27.37,3.11,26.713,33.882,38,54.9,183.6,16.31,heavy,200.0,0.51,1,mild,6.58,agriculture,66.0,5223.7,38.0,35.0,0.0,126.4,Semi_Arid,3,CRITICAL,red
37.82,48.94,75.96,1.17,36.973,66.697,59,50.3,167.2,17.99,heavy,200.0,0.33,0,well,6.32,road_work,34.0,7972.4,40.3,37.8,0.0,147.0,Semi_Arid,3,CRITICAL,red
38.89,46.34,32.11,1.71,30.611,38.892,58,56.0,159.4,22.03,heavy,200.0,0.3,0,mild,6.77,road_work,480.0,5810.8,38.0,35.7,25.74,154.4,Semi_Arid,2,HIGH,orange
37.68,40.24,80.25,2.16,35.349,69.808,44,58.8,174.0,19.42,heavy,200.0,0.48,1,mild,6.11,agriculture,24.0,8784.6,40.6,37.1,0.0,137.1,Composite,3,CRITICAL,red
37.71,45.48,19.72,1.55,27.137,37.709,26,45.1,178.1,14.22,heavy,200.0,0.62,0,mild,6.02,salt_pan,47.0,5890.0,38.0,35.3,0.0,133.1,Hot_Dry,3,CRITICAL,red
34.12,48.86,42.71,2.43,29.518,36.377,56,62.4,150.0,27.71,heavy,200.0,0.38,0,well,6.06,salt_pan,480.0,4983.5,37.9,35.3,116.1,131.9,Hot_Dry,0,LOW,green
38.73,41.27,78.18,2.87,35.9,73.439,59,73.3,172.2,24.71,heavy,200.0,0.48,1,well,6.96,agriculture,20.0,7950.7,41.6,37.5,0.0,133.1,Semi_Arid,3,CRITICAL,red
41.21,57.6,57.78,3.15,38.221,65.602,33,64.5,154.1,27.18,heavy,200.0,0.44,0,well,6.12,salt_pan,30.0,9338.1,39.8,37.3,0.0,149.9,Hot_Dry,3,CRITICAL,red
36.35,47.3,37.26,1.68,30.072,36.346,31,72.1,180.1,22.22,heavy,200.0,0.38,1,dehydrated,6.68,construction,47.0,5887.3,38.0,35.6,0.0,144.8,Hot_Humid,3,CRITICAL,red
32.52,45.21,58.76,1.41,30.101,37.904,45,67.5,162.7,25.49,heavy,200.0,0.38,1,mild,6.74,quarry,480.0,4916.8,37.8,35.4,92.67,141.6,Semi_Arid,0,LOW,green
34.01,44.51,38.48,3.38,27.654,34.006,47,79.2,180.4,24.33,heavy,200.0,0.44,1,mild,6.98,construction,480.0,4821.5,37.9,34.8,78.15,121.1,Hot_Humid,0,LOW,green
36.87,45.21,88.2,4.03,36.084,72.601,33,85.0,180.5,26.07,heavy,200.0,0.42,1,dehydrated,6.43,fishing,16.0,9260.0,41.7,37.5,0.0,146.9,Hot_Humid,3,CRITICAL,red
34.99,44.65,78.35,3.28,33.6,55.43,55,52.9,156.5,21.61,heavy,200.0,0.51,1,well,6.89,salt_pan,480.0,6747.1,37.7,35.1,138.66,137.2,Hot_Dry,0,LOW,green
35.05,46.37,49.16,2.71,30.499,40.475,60,48.5,159.6,19.03,heavy,200.0,0.48,1,well,6.6,tea_plantation,480.0,4935.4,37.9,35.1,156.18,130.7,Hot_Humid,0,LOW,green
34.63,36.53,49.48,4.08,28.307,39.608,49,74.1,171.9,25.07,heavy,200.0,0.33,0,well,6.83,construction,480.0,4588.9,38.0,34.2,70.09,130.9,Hot_Humid,0,LOW,green
38.77,49.11,52.15,1.38,34.489,52.273,20,72.5,159.3,28.59,heavy,200.0,0.34,0,mild,6.34,tea_plantation,480.0,7392.7,37.9,36.2,51.46,150.9,Highland,1,MODERATE,yellow
37.6,42.18,26.15,2.59,27.526,37.595,60,83.0,175.3,26.99,heavy,200.0,0.4,0,mild,6.38,construction,480.0,5191.7,38.0,34.9,49.2,125.7,Semi_Arid,1,MODERATE,yellow
35.38,50.16,47.55,2.0,31.469,40.604,60,48.2,180.1,14.86,heavy,200.0,0.36,1,dehydrated,6.36,quarry,480.0,5349.9,37.9,35.6,32.61,143.4,Semi_Arid,1,MODERATE,yellow
33.3,42.14,62.34,3.43,29.889,41.196,24,49.8,164.7,18.36,heavy,200.0,0.67,1,dehydrated,6.47,construction,480.0,5099.5,37.9,34.9,25.81,139.0,Hot_Humid,2,HIGH,orange
36.85,50.08,57.55,1.35,34.072,49.464,34,84.3,175.5,27.37,heavy,200.0,0.44,1,well,6.18,brick_kiln,480.0,7301.4,37.9,36.0,181.23,134.5,Composite,0,LOW,green
32.68,46.01,61.45,1.52,30.67,39.204,58,79.0,163.6,29.5,heavy,200.0,0.61,0,mild,6.97,construction,480.0,4894.0,37.7,35.3,14.07,140.5,Composite,2,HIGH,orange
33.16,41.46,75.09,5.24,30.601,46.346,26,68.1,164.5,25.17,heavy,200.0,0.4,1,dehydrated,6.41,construction,480.0,5193.9,38.0,34.4,29.18,145.0,Hot_Humid,2,HIGH,orange
33.55,41.78,61.5,2.3,30.236,41.558,32,68.3,177.0,21.81,heavy,200.0,0.32,0,dehydrated,6.37,road_work,480.0,4921.4,37.9,35.1,0.0,148.9,Semi_Arid,3,CRITICAL,red
35.72,43.38,44.01,2.59,29.654,40.008,37,60.1,152.2,25.94,heavy,200.0,0.32,0,well,6.13,brick_kiln,48.0,5447.2,38.0,35.2,0.0,129.1,Hot_Dry,3,CRITICAL,red
34.31,38.57,74.83,3.59,31.366,50.499,33,46.4,153.4,19.72,heavy,200.0,0.65,1,dehydrated,6.73,quarry,480.0,6293.3,37.8,34.9,9.94,137.3,Semi_Arid,2,HIGH,orange
41.51,51.52,45.33,3.05,35.323,56.174,41,46.1,153.3,19.64,heavy,200.0,0.68,1,mild,6.83,brick_kiln,480.0,8510.4,37.9,35.7,87.2,143.2,Hot_Dry,0,LOW,green
35.74,38.82,50.47,1.56,29.994,42.672,20,59.8,162.5,22.63,heavy,200.0,0.48,0,well,6.54,construction,480.0,5342.7,37.9,35.3,87.44,136.7,Semi_Arid,0,LOW,green
33.98,44.99,77.68,2.97,32.903,50.775,57,60.1,178.2,18.91,heavy,200.0,0.48,1,dehydrated,6.95,brick_kiln,480.0,5319.5,37.7,35.2,0.0,144.2,Hot_Dry,3,CRITICAL,red
37.46,47.84,61.73,2.99,34.132,54.17,30,61.7,180.6,18.93,heavy,200.0,0.53,0,well,6.7,salt_pan,480.0,7380.4,37.9,35.5,77.82,145.7,Hot_Dry,0,LOW,green
33.01,39.57,42.38,2.0,26.989,34.332,25,82.4,152.6,35.43,heavy,200.0,0.51,1,mild,6.68,quarry,480.0,4641.6,37.9,34.9,95.91,124.5,Semi_Arid,0,LOW,green
34.39,44.14,24.42,1.26,26.03,34.392,26,67.6,150.7,29.75,heavy,200.0,0.54,0,mild,6.83,construction,480.0,5313.8,38.0,35.3,22.36,138.3,Composite,2,HIGH,orange
34.24,41.58,49.82,3.17,28.924,38.865,23,80.0,166.2,28.97,heavy,200.0,0.65,0,well,6.45,brick_kiln,480.0,5098.5,37.9,34.9,92.73,132.4,Hot_Dry,0,LOW,green
37.24,48.26,17.92,2.84,26.599,37.24,32,63.9,167.2,22.86,heavy,200.0,0.55,0,mild,6.47,construction,34.0,5928.6,38.1,35.1,0.0,131.0,Composite,3,CRITICAL,red
32.33,38.47,81.68,3.53,30.608,46.348,36,82.7,179.3,25.73,heavy,200.0,0.46,0,mild,6.2,agriculture,480.0,4774.9,37.8,34.7,60.22,136.7,Semi_Arid,0,LOW,green
32.77,42.28,63.46,1.54,30.23,40.182,20,69.8,182.0,21.08,heavy,200.0,0.43,1,dehydrated,6.2,construction,480.0,5031.7,37.9,35.3,41.94,132.5,Semi_Arid,1,MODERATE,yellow
33.96,39.62,47.45,1.49,28.516,37.48,54,57.6,166.1,20.88,heavy,200.0,0.51,1,well,6.47,fishing,480.0,4519.0,37.8,35.0,163.5,124.7,Hot_Humid,0,LOW,green
34.24,39.48,24.96,1.88,24.921,34.236,26,49.3,159.0,19.49,heavy,200.0,0.69,0,well,6.24,construction,480.0,4874.3,37.9,34.9,105.35,121.3,Composite,0,LOW,green
39.1,46.29,65.45,1.89,35.86,63.548,58,49.9,180.5,15.31,heavy,200.0,0.52,1,mild,6.27,construction,53.0,8054.1,39.3,36.6,0.0,135.4,Highland,3,CRITICAL,red
37.03,47.36,82.05,1.55,36.667,67.996,22,58.1,165.8,21.16,heavy,200.0,0.49,1,mild,6.1,salt_pan,25.0,9283.5,41.2,37.9,0.0,140.3,Hot_Dry,3,CRITICAL,red
37.67,51.65,68.29,1.27,36.42,59.753,34,79.0,153.7,33.46,heavy,200.0,0.42,0,dehydrated,6.86,road_work,52.0,9333.9,39.2,37.1,0.0,156.0,Semi_Arid,3,CRITICAL,red
33.21,44.35,71.27,2.49,31.603,44.732,35,45.8,151.5,19.97,heavy,200.0,0.35,1,mild,6.56,brick_kiln,480.0,5135.5,37.9,35.3,103.06,127.3,Hot_Dry,0,LOW,green
37.19,45.16,62.76,3.41,33.409,53.885,40,82.9,168.9,29.05,heavy,200.0,0.38,1,mild,6.23,brick_kiln,480.0,6574.3,38.0,35.3,122.71,136.7,Hot_Dry,0,LOW,green
36.62,47.74,66.49,4.92,33.531,54.244,24,81.8,173.8,27.08,heavy,200.0,0.65,0,dehydrated,6.72,agriculture,480.0,8838.9,37.8,35.0,0.0,154.3,Hot_Humid,3,CRITICAL,red
34.51,45.54,70.56,1.02,33.178,48.87,20,52.0,175.8,16.84,heavy,200.0,0.69,0,dehydrated,6.02,fishing,160.0,9296.2,38.3,36.0,0.0,153.8,Hot_Humid,3,CRITICAL,red
34.66,46.87,22.48,0.59,26.54,34.657,29,71.9,173.8,23.82,heavy,200.0,0.33,0,well,6.7,tea_plantation,480.0,5930.4,38.0,35.6,78.24,133.0,Highland,0,LOW,green
32.55,34.51,53.65,0.99,27.474,36.415,19,55.9,150.7,24.62,heavy,200.0,0.68,0,well,6.39,tea_plantation,480.0,4890.3,37.8,35.0,96.56,128.7,Hot_Humid,0,LOW,green
35.16,41.11,52.69,3.99,29.622,42.174,32,74.0,162.2,28.1,heavy,200.0,0.37,0,mild,6.59,salt_pan,43.0,5323.8,38.0,34.7,0.0,140.6,Hot_Dry,3,CRITICAL,red
33.73,36.63,77.83,4.17,30.968,49.868,54,50.1,154.0,21.14,heavy,200.0,0.38,1,dehydrated,6.26,construction,480.0,4651.6,37.8,34.4,38.44,145.0,Hot_Humid,1,MODERATE,yellow
